"CBSA","CSA","Type","Name"
"18880",,"Metro","Crestview-Fort Walton Beach-Destin, FL"
"18900",,"Micro","Crossville, TN"
"18940","318","Micro","Crowley, LA"
"18980","142","Micro","Cullman, AL"
"19020","548","Micro","Culpeper, VA"
"19060",,"Metro","Cumberland, MD-WV"
"19100","206","Metro","Dallas-Fort Worth-Arlington, TX"
"19124",,"Div","Dallas-Plano-Irving, TX"
"19140",,"Metro","Dalton, GA"
"19180",,"Metro","Danville, IL"
"19220",,"Micro","Danville, KY"
"19260",,"Metro","Danville, VA"
"19300","380","Micro","Daphne-Fairhope-Foley, AL"
"19340",,"Metro","Davenport-Moline-Rock Island, IA-IL"
"19380","212","Metro","Dayton, OH"
"19460","290","Metro","Decatur, AL"
"19500",,"Metro","Decatur, IL"
"19540","258","Micro","Decatur, IN"
"19580",,"Micro","Defiance, OH"
"19620",,"Micro","Del Rio, TX"
"19660","422","Metro","Deltona-Daytona Beach-Ormond Beach, FL"
"19700",,"Micro","Deming, NM"
"19740","216","Metro","Denver-Aurora-Broomfield, CO"
"19760","256","Micro","DeRidder, LA"
"19780","218","Metro","Des Moines-West Des Moines, IA"
"19804",,"Div","Detroit-Livonia-Dearborn, MI"
"19820","220","Metro","Detroit-Warren-Livonia, MI"
"19860",,"Micro","Dickinson, ND"
"19900",,"Micro","Dillon, SC"
"19940",,"Micro","Dixon, IL"
"19980",,"Micro","Dodge City, KS"
"20020","222","Metro","Dothan, AL"
"20060",,"Micro","Douglas, GA"
"20100",,"Metro","Dover, DE"
"20140",,"Micro","Dublin, GA"
"20180",,"Micro","DuBois, PA"
"20220",,"Metro","Dubuque, IA"
"20260",,"Metro","Duluth, MN-WI"
"20300",,"Micro","Dumas, TX"
"20340",,"Micro","Duncan, OK"
"20380","450","Micro","Dunn, NC"
"20420",,"Micro","Durango, CO"
"20460",,"Micro","Durant, OK"
"20500","450","Metro","Durham-Chapel Hill, NC"
"20540",,"Micro","Dyersburg, TN"
"20580",,"Micro","Eagle Pass, TX"
"20620","566","Micro","East Liverpool-Salem, OH"
"20660",,"Micro","Easton, MD"
"20700",,"Micro","East Stroudsburg, PA"
"20740","232","Metro","Eau Claire, WI"
"20764",,"Div","Edison-New Brunswick, NJ"
"20780",,"Micro","Edwards, CO"
"20820",,"Micro","Effingham, IL"
"20900",,"Micro","El Campo, TX"
"20940",,"Metro","El Centro, CA"
"20980",,"Micro","El Dorado, AR"
"21020",,"Micro","Elizabeth City, NC"
"21060","350","Metro","Elizabethtown, KY"
"21120",,"Micro","Elk City, OK"
"21140","515","Metro","Elkhart-Goshen, IN"
"21220",,"Micro","Elko, NV"
"21260",,"Micro","Ellensburg, WA"
"21300",,"Metro","Elmira, NY"
"21340",,"Metro","El Paso, TX"
"21380",,"Micro","Emporia, KS"
"21420",,"Micro","Enid, OK"
